0,1,2,3
International Business,Sales? crore,Growthyear-on-year,Constant Currency Growthyear-on-year
Indonesia,345,(11%),(6%)
"Africa, USA & Middle East",517,5%,7%
Latin America,179,8%,28%
Europe,117,20%,11%
Others**,30,(3%),4%
Total Net Sales,"1,188",1%,6%
