0,1,2,3
Sr.No,Particulars,Sr.No,Particulars
1,Hindustan Cargo limited,38,Ecu Worldwide (Cyprus) Ltd.(formerly known as Ecu-LineMediterranean Ltd.)
2,Contech Logistics Solutions Private limited (formerly knownas Contech Transport Services Pvt. Ltd),39,ECU Woridwide (CZ) s.r.o. (formerly known as Ecu-Line(CZ) s.r.o).
3,Allcargo Inland Park Private limited (formerly known asTransindia Inland Park Private Limited),40,Ecu - Worldwide - (Ecuador) S.A(formerly known as Ecu-Une del Ecuador S.A.)
4,Allcargo Shipplnq Co. Private Limited,41,Flamingo Line del Ecuador SA
5,South Asia Terminals Private Limited,42,Ecu World Wide Egypt Ltd (formerly known as Ecu LineEgypt Ltd.)
6,AGL Warehousing Private Limited,43,Ecu Worldwide (El Salvador) S.P. Z.o.o SA. de CV (formerlyknown as Flamingo Line El Salvador SA de CV)
7,Ecu International (Asia) Private Limited,44,ECU Worldwide (Germany) GmbH (formerly known as Ecu-Line Germany GmbH)
8,Compteoh Solutions Private Limited,45,ELWA Ghana Ltd.
9,Transindia Logistic Park Private Limited,46,Ecu Worldwide (Guatemala) S.A.(formerly known asFlamingo Une de Guatemala SA.)
10,Combi Line Indian Agencies Private Limited,47,Ecu Worldwide (Hong Kong) Ltd.(formeriy known as Ecu-Line Hong Konq Ltd.)
11,Acex Logistics Limited,48,Ecu International Far East Ltd.
12,Allcargo Multimodal Private Limited (formerly known asTransindia Warehousing Private Limited),49,CCS Shipping Limited
13,Allcarqo Terminals Private Limited,50,PT Ecu Worldwide Indonesia
14,Altcarqo Oil & Gas Private Limited,51,PT EKA Consol Utama Une
15,Ecu-Line Algerie Sari,52,Ecu Worldwide Italy S.rX (formerly known as Ecu-Une Italiasri.)
16,Ecu Worldwide (Argentina) SA (formerly known as EcuLoqlslics SA),53,Eurocentre Milan S.r.l.
17,Ecu Worldwide Australia Private Limited (formerly known asEcu-Line Australia Private Limited),54,Ecu Worldwide (Cote d’Ivoire) sari (formerly known as Ecu-Une C6te d'Ivoire Sari)
18,Integrity Enterprises Private Limited,55,Ecu Worldwide (Japan) Ltd.(formerly known as Ecu-LineJapan Ltd.)
19,Ecu Worldwide (Belgium) (formerly known as Ecu-Line N.V),56,Jordan Gulf for Freiqht Services and Aqencles Co. LLC
20,Ecu-Loglslics N.V.,57,Ecu Worldwide (Kenya) Ltd (formerly known as Ecu-LineKenya Ltd.)
21,FMA-Line Holdinq N. V. (formerly known Ecubro N.V.),53,Ecu Shippinq Logistics (K) Ud.
22,Ecuhold N.V.,59,Ecu Worldwide (Malaysia) SDN. BHD. (formerly known asEcu-Line Malaysia Sdn. Bhd.)
23,Ecu International N.V.,60,Ecu-Une Malta Limited
24 ■,Ecu Global Services N.V.,61,Ecu Worldwide (Mauritius) Ltd.(former(y known as Ecu-UneMauritius Ud.)
25,HCL logistics N.V.,62,CELM Loqistics SA de CV
26,European Customs Brokers N.V.,63,Ecu Worldwide Mexico (formerly known as Ecu Logistics deMexico SA de CV)
27,AGL N.V.,64,Ecu Worldwide Morocco (formerly known as Ecu-Line MarccS.A.)
28,Allcargo Belgium N.V.,65,Ecu Worldwide (Netherlands) B.V.(Ecu-Line Rotterdam BV)
29,Ecu Worldwide Logistics do Brazil Limited (formerly knownas Ecu Logistics do Brasil Uda.),66,Rotterdam Freight Station BV
30,Ecu Worldwide (Canada) Inc. (formerly known as Ecu-LineCanada Inc).,67,FCL Marine Agencies B.V.
31,Ecu Worldwide (Chile) S.A (formerly known as Ecu-UneChile. S-A),68,Ecu Worldwide New Zealand Limited (formerly known asEcu-Une NZ Ltd.)
32,Flamingo Line Chile S.A.,69,Ecu Woridwide (Panama) S.A (formerly known as Ecu-Linade Panama SA)
33,Ecu Woridwide (Guangzhou) Ltd.(former!y known as Ecu-Une Guanqzhou Ltd),70,Ecu-Une Paraguay SA
34,China Consolidation Services Shipping Limiled,71,Flamingo Une del Peru SA
35,Ecu Worldwide China Ltd (formerly known as ChinaConsolidation Services Limited),72,Ecu-Line Peru SA
36,Ecu Woridwide (Colombia) S.A.S.(formerly known as Ecu-Une de Colombia S A.S),73,Ecu Worldwide (Philippines) lnc.(formerly known as Ecu-Line Philippines Inc.)
37,Ecu Worldwide Costa Rica $.A.(formerly known as ConecllInternational S.A),74,Ecu Woridwide (Poland) Sp zoo (formerly known as Ecu-Une Polska SP. Z.o.0.)
